id;title;author;price;isbn
1;strict;when amid;10251.22;scale
2;instead down;till pillbox excitedly;25379.31;chiffonier opera
3;carelessly out apropos;woot;2736.63;wedding of quizzically
4;controvert ick;broadly within deliberately;3695.47;mechanically
5;bulky finally misread;yum;2366.51;republican
6;though;kiddingly bashfully;24232.98;whoa
7;who numeracy version;jury courageous;17161.21;providence
8;beyond;disadvantage;25948.7;politely
9;unlike bah;husk;7770.27;shadowbox given until
10;never once geez;whoa incomparable;16764.42;annually phew whirlwind
